,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,845392781.4615601,845392781.4615601,845392781.4615601,840585955.1700602,845392781.4615601,845392781.46156
1,1,916136048.2465837,916136048.2465837,916136048.2465837,911271382.0246884,916136048.2465836,916136048.2465837
2,2,994963393.3022487,994963393.3022487,994963393.3022487,990034277.5806558,994963393.3022487,994963393.3022487
3,3,1082994106.4725149,1082994106.4725149,1082994106.4725149,1078051377.2125149,1082994106.4725149,1082994106.4725149
4,4,1181518822.3956976,1181518822.3956976,1181518822.3956976,1176576093.1356976,1181518822.3956976,1181518822.3956978
5,5,1292102394.523259,1292102394.523259,1292102394.523259,1287084507.7682836,1292102394.523259,1292102394.523259
6,6,1416737272.693857,1416737272.693857,1416737272.693857,1411297533.8532615,1416737272.693857,1416737272.693857
7,7,1557119801.1214516,1557119801.1214516,1557119801.1214516,1551256701.5854516,1557119801.1214516,1557119801.1214516
8,8,1715560036.501229,1715560036.501229,1715560036.501229,1709696936.965229,1715560036.501229,1715560036.501229
9,9,1894732972.34798,1894732972.34798,1894732972.3479798,1888869872.8119798,1894732972.3479795,1894732972.34798
10,10,2097738198.2058926,2097738198.2058926,2097738198.2058926,2091875098.6698928,2097738198.205892,2097738198.2058926
11,11,2328169753.7866025,2328169753.786602,2328169753.7866025,2322306654.2506022,2328169753.7866025,2328169753.7866025
12,12,2550811706.0592,2590197426.394056,2590197426.3940563,2584334326.8580565,2590197426.3940563,2590197426.3940563
13,13,2734983123.5293436,2888661911.2941537,2888661911.294154,2882798811.758154,2888661911.2941546,2888661911.294154
